Reference,Whisper_Transcription,Gemini_Transcription
KHI MIỆNG VẪN NGẬM BẦU VÚ QUẮT QUEO, Khi miệng vẫn nhậm bầu vú quắt queo,Khi miệng vẫn ngậm bầu vú quắt queo.
RỒI CHÌM LỈM MỘT THỜI GIAN, Rồi chìm lỉm một thời gian,Rồi chìm liễm một thời gian.
PHƯƠNG CHÂM SỐNG CỦA TÔI LÀ NGƯỜI KHÔNG VÌ MÌNH TRỜI TRU ĐẤT DIỆT, Phương chăm sóng của tôi là người không vì mình chờ chú đất diệt.,"Phương châm sống của tôi là người không vì mình trời chu đất diệt.
"
NẾU CHỦ ĐẦU TƯ KHÔNG TỰ PHÁ DỠ THÌ BỊ CƯỠNG CHẾ, Nếu chủ đầu tư không tự phá giở thì bị cưỡng chế.,Nếu chủ đầu tư không tự phá dỡ thì bị cưỡng chế.
BÂY GIỜ THÌ ĐÁNG ĐƯỢC KHEN LÀ THÔNG MINH CHỨ HẢ, Bây giờ thì đáng được khen là thông minh chứ hả?,"Bây giờ thì đáng được khen là thông minh chứ hả?
"
ĐÓ CŨNG LÀ SỰ TIẾP XÚC GẦN GŨI NHẤT CỦA BỌN EM, Đó cũng là sự tiếp xúc gần gũi nhất của bọn em,Đó cũng là sự tiếp xúc gần gũi nhất của bọn em.
ĐỂ XIN THỊ THỰC CÔNG TÁC VỀ CƠ BẢN BẠN PHẢI CÓ," Để sinh thủy thật công tác về cơ bản, bạn phải có","Để xin thị thực công tác, về cơ bản bạn phải có
"
DO VẬY SẼ ẢNH HƯỞNG TỚI VIỆC THU SÓNG VÔ TUYẾN, Do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến.,Do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến.
THẾ NHƯNG KHI GIÁ PHÔI THÉP THẾ GIỚI CAO DẦN, Thế nhưng khi giả phôi thép thế giới cao dần,"thế nhưng khi giá phôi thép thế giới cao dần,"
ÔNG NHẶT NÓ LÊN, Ông nhặt nó lên,"Ông nhặt nó lên.
"
DOANH NGHIỆP TUYỂN DỤNG LAO ĐỘNG NƯỚC NGOÀI, Doanh nghiệp tuyển dụng lao động nước ngoài,Doanh nghiệp tuyển dụng lao động nước ngoài.
TỨC KHẮC ẬP VỀ KÉO MỌI NGƯỜI THỨ TRỞ LẠI THỜI HOANG SƠ, Tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ,tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ.
CHƯA RỤC RỊCH GÌ, Chưa rụt rịch gì,"Chưa rục rịch gì.
"
RA HIỆU CHO TÔI IM LẶNG, Ra hiệu cho tôi im lặng.,ra hiệu cho tôi im lặng.
TÔI NGHĨ THỦ TƯỚNG SẼ KHÔNG NÉ TRÁNH BẤT CỨ CÂU HỎI NÀO, Tôi nghĩ Thủ tướng sẽ không né tránh bất cứ câu hỏi nào,Tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào.
MỚI ĐÂY NHẤT LÀ CÁC TIỂU VƯƠNG QUỐC Ả RẬP THỐNG NHẤT, Mới đây nhất là các tiểu vương quốc Ả Rập Thống Nhất,Mới đây nhất là các Tiểu vương quốc Ả Rập Thống nhất.
MÀ MƯỜNG TƯỢNG RA HÌNH BÓNG MẸ, Mà mương tượng ra hình bóng mẹ,"mà mường tượng ra hình bóng mẹ.
"
NHỮNG NGƯỜI SỐNG THÌ THA THẨN TRONG NHÀ NGOÀI NGÕ, Những người sống thì tha thẩn trong nhà ngoài ngõ.,Những người sống thì tha thẩn trong nhà ngoài ngõ.
LÀM HỎNG CÁC THIẾT BỊ CỦA TÊN LỬA, làm hỏng các thiết bị của tên lửa.,làm hỏng các thiết bị của tên lửa.
LẠI QUAY RA TẬP VIẾT BÁO RỒI GỬI VU VƠ, Lại quay ra tập viết báo rồi gửi vu vơ.,Lại quay ra tập viết báo rồi gửi vu vơ.
CHỊ HAI CHỦ QUÁN NGHE BÀN TÁN RÔM RẢ CŨNG RA GÓP CHUYỆN, Chị hai chủ quán nghe bàn tán rôm rã cũng ra góp chuyện.,"Chị hai chủ quán nghe bàn tán rôm rả cũng ra góp chuyện.
"
NHỎ ĐƯA TAY RA CÀO HẾT BÙN KHÔ TRÊN CỔ TỚ, Nhỏ đưa tay ra cào hết bùng khô trên cổ tớ.,Nhỏ đưa tay ra cào hết bùn khô trên cổ tớ.
MÀ CÒN BỊ NHỮNG BỘ MẶT LẠNH TE KIA HOẠNH HỌE, mà còn bị những bồ mặt lạnh te kia hoành hoẹt.,"mà còn bị những bộ mặt lạnh te kia hoành hoẹt.
"
TRÔNG MỘT CÔ NÀNG ĐỔ NGƯỜI LÊN LƯNG ANH NGƯỜI YÊU GẦY CÒM, Trong một cô nàng đổ người lên lưng anh người yêu gây còm,Trong một cô nàng đổ người lên lưng anh người yêu gầy còm.
ĐANG LÀM VIỆC KHÔNG NGỪNG NGHỈ, Đang làm việc không ngừng nghỉ.,đang làm việc không ngừng nghỉ.
THU HÚT RẤT LÀ NHIỀU LOÀI CHIM, thu hút rất là nhiều loài chim.,thú hút rất là nhiều loài chim.
KHI CÔ THỂ HIỆN KHÔNG MẤY THÀNH CÔNG Ở LỄ KHAI MẠC," Khi cô thể hiện không mấy thành công ở lễ khai mạc,",Khi cơ thể hiện không mấy thành công ở lễ khai mạc.
MỘT CÚ NGOẶT KHÔNG CHÍNH XÁC, Một cú hoặc không chính xác.,một cú ngoặt không chính xác.
THU CHẠM NGÕ RẤT HIỀN, Thu chạm ngõ rất hiền.,Thu chàm ngõ rất hiền.
THỜI HẠN SỬ DỤNG VÀ LOẠI SẢN PHẨM BỘT, Thời hạn sử dụng và loại sản phẩm bột,"Thờ hạn sử dụng và loại sản phẩm bột.
"
BỌN BUÔN LẬU MA TÚY VÀ VŨ KHÍ, Bọn buôn lậu ma túy và vũ khí,Bọn buôn lậu ma túy và vũ khí.
NGHE TIẾNG XÌNH XỊCH XA XA THÌ ĐOÁN TRÚNG PHÓC LÀ HÚT HẦM CẦU, Nghe tiếng xình xịt xa xa thì đoán trúng phóc là hút hầm câu,nghe tiếng sình sịch xa xa thì đoán trúng phóc là hút hầm cầu.
TRÁN GIÔ, Tráng dô,"tráng dồ.
"
LÀM ĐƯỜNG DÂY ĐỂ NỐI CÁC MẢNH ĐỜI, làm đường dây để nối các mảnh đời.,"Tạo kết nối, hiểu nhau."
CUỐI CÙNG HỌ DẪN NHAU VỀ NHÀ VỚI THÚNG LÀN KHÔNG, Cuối cùng họ dẫn nhau về nhà với thúng làn không?,Cuối cùng họ dẫn nhau về nhà với thúng làn không?
HỌ THÍCH NGHI VỚI VĂN HÓA CÔNG TY NHƯ THẾ NÀO, Họ thay nghi với văn hóa công ty như thế nào?,Họ thích nghi với văn hóa công ty như thế nào?
NGHĨA LÀ NẾU BẠN ĐANG LÀM VIỆC DƯỚI QUYỀN MỘT GIÁM SÁT VIÊN, Nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên,nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên?
PHIM MỚI CỦA TRƯƠNG NGHỆ MƯU SỰ TRỞ LẠI DÒNG PHIM NGHỆ THUẬT, Phim mới của Trương Nghệ mưu sự trở lại dòng phim nghệ thuật,Phim mới của Trương Nghệ Mưu sự trở lại dòng phim nghệ thuật.
HÌNH THỨC KỶ LUẬT NÀO CŨNG CHỈ CÓ TÍNH ĐỊNH HƯỚNG RĂN ĐE, Hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe.,"Hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe.
"
BẮT ĐẦU CUỘC CHẠY ĐUA MÙA KINH DOANH TẾT GIỮA BÁNH NỘI VÀ BÁNH NGOẠI, Bắt đầu cuộc chạy đua mùa kinh doanh Tết giữa bánh nội và bánh ngoại,Bắt đầu cuộc chạy đua mùa kinh doanh Tết giữa bánh nội và bánh ngoại.
TRÊN THỰC TẾ MỘT CUỘC ĐIỀU TRA ĐÃ ĐƯỢC TIẾN HÀNH," Trên thực tế, một cuộc điều tra đã được tiến hành.","Trên thực tế, một cuộc điều tra đã được tiến hành.
"
TRÊN CƠ SỞ ĐÓ NHỮNG HÀNH VI VI PHẠM SẼ ĐƯỢC XỬ LÝ NGHIÊM," Trên cơ sở đó, những hành vi vi phạm sẽ được xử lý nghiêm","Trên cơ sở đó, những hành vi vi phạm sẽ được xử lý nghiêm.
"
NẰM TRÊN GIƯỜNG GẦN CẢ THÁNG BẤT GIÁC TÔI CẢM THẤY MÌNH THẬT CÔ ĐỘC," Nằm trên giường gần cả tháng, bất chợ tôi cảm thấy mình thật cô độc","Nằm trên giường gần cả tháng, bất chợt tôi cảm thấy mình thật cô độc.
"
CÒN HÀNG TRĂM CHIẾC KHÁC ĐÃ BÁN THÌ ÔNG KHÔNG NHỚ HẾT, Còn hàng trăm chiếc khác đã bán thì ông không nhớ hết,"Còn hàng trăm chiếc khác đã bán thì ông không nhớ hết.
"
HỌ KHÔNG BIẾT CHƠI PHÒNG NGỰ LÀ GÌ TRỪ KHI BỊ ĐỐI THỦ VÂY ÉP, Họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép,Họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép.
KẼM CÓ NHIỀU TRONG GAN SÒ THỊT ĐỎ CÁ ÓC TRỨNG," Kẹm quá nhiều trong gan, sò, thịt đỏ, cá, ốc, trứng","Kẽm có nhiều trong gan, sò, thịt đỏ, cá, ốc, trứng."
ĐIỀU NÀY KHÓ HƠN KHI BẠN VÀO BÀN TIỆC TOÀN NGƯỜI XA LẠ, Điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ,Điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ.
THÀNH MỘT CHIẾC LỒNG ĐÈN KHỔNG LỒ TẠI CÔNG VIÊN Ở THỦ ĐÔ BẮC KINH, thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô Bắc Kinh.,Thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô Bắc Kinh.
CHẲNG LẼ ĂN CƠM NHÀ NGƯỜI MÀ LẠI KHÔNG CHĂM CHÚ LẮNG NGHE NGƯỜI NÓI, Chẳng lẽ ăn cơm nhà người mà lại không chăm chú nắng nghe người nói,"Chẳng lẽ ăn cơm nhà người mà lại không chăm chú lắng nghe người nói?
"
CÁI NHÀ HÁT BỊ ĐẬP TAN TÀNH ÔNG KHOÁI LẮM À, Cái nhà hát bị đập tan tình Ông khoái lắm à,"Cái nhà hát bị đập tan tành, ông khoái lắm à?"
UNG THƯ TỪ MỘT CƠ QUAN KHÁC DI CĂN VÀO HỆ THỐNG HẠCH BẠCH HUYẾT, ung thư từ một cơ quan khác di can vào hệ thống hạch bạch huyết.,Ung thư từ một cơ quan khác di căn vào hệ thống hạch bạch huyết.
CÔNG NHÂN ĐANG THI CÔNG HAI NHÁNH CẦU RẠCH CHIẾC ẢNH THUẬN THẮNG," Công nhân đang thi công 2 nhánh, cầu rạch trước, ảnh thuận thắng.","Công nhân đang thi công hai nhánh cầu Rạch Chiếc, ảnh Thuận Thắng."
MẤY NGÀY ĐẦU THÚY HÀ PHẢI NHỜ KIM DẪN ĐI GIỚI THIỆU TRƯỜNG," Mấy ngày đầu, Thúy Hà phải nhờ Kim dẫn đi giới thiệu trường.",Mấy ngày đầu Thúy Hà phải nhờ Kim dẫn đi giới thiệu trường.
THẢN NHIÊN GIÁ ĐÓ THÌ CHỈ CÓ THỂ LÀM VẬY THÔI, Thả nhiên giá đó thì chỉ có thể làm vậy thôi,Thản nhiên giá đó thì chỉ có thể làm vậy thôi.
MÔ HÌNH CẤU TRÚC CHỨC NĂNG VÀ KHOA HỌC XÃ HỘI MANG TÍNH GIÁO DỤC," Mô hình cấu trúc, chức năng và khoa học xã hội mang tính giáo dục","Mô hình cấu trúc, chức năng và khoa học xã hội mang tính giáo dục."
NHẢM NHÍ KHI GIỜ HỌC CHÁN PHÈO BUỒN NGỦ QUÁ Ờ BUỒN NGỦ, Nhạm nhí khi giờ học chán phèo Buồn ngủ quá Ờ buồn ngủ,"nhảm nhí khi giờ học chán phèo, buồn ngủ quá. Ờ buồn ngủ."
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI, Chắc sắp tới thu sếp đi du lịch thôi,Chắc sắp tới thu xếp đi du lịch thôi.
VÀ BẠN CẦN CÓ VIỆC LÀM ỔN ĐỊNH VỚI THU NHẬP CAO, Và bạn cần có việc làm ổn định với thu nhập cao,và bạn cần có việc làm ổn định với thu nhập cao.
MÀU SON TRÔNG THẬT TUYỆT TRÊN BẤT KÌ MÀU DA NÀO, Màu son trông thật tuyệt trên bất kỳ màu da nào,Màu son trông thật tuyệt trên bất kỳ màu da nào.
CÒN ANH TRAI TÔI TRONG NHẬT KÝ CỦA MÌNH CŨNG LINH CẢM ĐIỀU ĐÓ, Còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó.,Còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó.
RỒI RƠM RẠ KHÔ THEO THÂN HÌNH GẦY NGẲNG, Rồi gom rã khô theo thân hình dày gặn nhắn,"Rồm rã khô theo thân hình gầy gặt nhẫn.
"
PHÒNG TRÀ KHIÊU VŨ CÁNH QUẠT CỐI XAY ĐỎ, Vòng trà khi vụ cánh hoạt có say đỏ,"phòng trà khiêu vũ, cánh quạt cối xay đỏ."
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU, Nó trốn mất tiêu rồi còn đâu?,nó trốn mất tiêu rồi con.
ĐỂ CÓ THỂ VẬN HÀNH CHÚNG ĐƯỢC HIỆU QUẢ HƠN, để có thể phân hành cho chúng được hiệu quả hơn.,Để có thể vận hành chúng được hiệu quả hơn.
LOÁNG THOÁNG TRĂN TRỞ LOÁNG THOÁNG BUỒN VUI, Loan thoáng trăn trở loan thoáng buồn vui.,"Loang thoáng trăn trở, loang thoáng buồn vui.
"
ĐƯỢC MỸ RÁO RIẾT TUNG RA, Được Mỹ ra quyết tung ra.,được Mỹ ra quyết tung ra. Ừ.
THÚ THẬT TUI CHƯA TỪNG CHƠI GÁI, Thú thật tôi chưa từng chơi gái.,"Thú thật tôi chưa từng chơi gái.
"
ĐƯỢC CẮT TỪ VỎ CHĂN BỘ ĐỘI CŨ CỦA CÁC ÔNG BỐ RA, được cắt từ võ trang bộ đội cũ của các ông bố ra.,Được các từ võ chăng bộ đội cũ của các ông bố ra.
NGÀY CĂN BẬC HAI CHỈ DIỄN RA CHÍN LẦN TRONG MỘT THẾ KỶ, Ngày căn bật 2 chỉ diễn ra 9 lần trong 1 thế kỷ.,Ngày căn bậc hai chỉ diễn ra chín lần trong một thế kỷ.
NĂM MƯƠI NĂM MƯƠI MỐT, 50-51,"50 51
"
MƯỜI MỘT MƯỜI HAI MƯỜI BA," 11, 12, 13","11 12 13
"
TRỨNG MỰC QUYẾN RŨ CÁC NGƯ DÂN, Trứng mật quyến rộ các ngư dân,Chứng mực quyến rũ các ngươi linh.
VÌ LƯỢNG CA KHÚC MỚI QUÁ NHIỀU, Vì lượng ca khúc mới quá nhiều,Vì lượng ca khúc mới quá nhiều.
THỊT NGỌT LỪ ẤY LẠI MANG THEO TRÙNG SÁN GÂY BỆNH, Thịt ngọt lừa ấy lại mang trùng sáng ngay bệnh,thật ngọt lừ ấy lại mang trùng sáng gây bệnh.
BẠN CÓ THỂ KHIỂN TRÁCH NGƯỜI LÁI XE, Bạn có thể khiến trách người lái xe.,"Bạn có thể khiển trách người lái xe?
"
VÀ THẬM CHÍ BẠN CŨNG KHÔNG NÊN CỐ GẮNG, Và thậm chí bạn cũng không nên cố gắng,"Và thậm chí bạn cũng không nên cố gắng.
"
GIẢI NHẤT HUY CHƯƠNG VÀNG THUỘC VỀ NHÀ NHIẾP ẢNH CỦA CỘNG HÒA SÉC, Giải nhất huy chương vàng thuộc về nhà nhiếp ảnh của Cộng hòa Xét.,giải nhất huy chương vàng thuộc về nhà nhiếp ảnh của Cộng hòa Séc.
VẪN CÒN NHƯNG BẠN KHÔNG DÁM CHẮC HỌ CÓ HẠNH PHÚC HAY KHÔNG, Vẫn còn nhưng bạn không dám chắc họ có hạnh phúc hay không,"Vẫn còn, nhưng bạn không dám chắc họ có hạnh phúc hay không.
"
CÓ CÒN HƠN KHÔNG, Có còn hơn không?,Có còn hơn không?
TÔI NẮM BÀN TAY XƯA BA TÔI TỪNG THƯƠNG YÊU ĐAU XÓT CẦM GIỮ, Tôi nắm bàn tay xưa Ba tôi từng thương tôi Đâu xót cầm giữ,"Tôi nắm bàn tay xưa, ba tôi từng thương tôi, đau xót cầm giữ.
"
CHỈ CÓ THỰC PHẨM MỚI GIÚP BẠN LÀM ĐƯỢC VIỆC NÀY, Chỉ có thực phẩm mới giúp bạn làm được việc này,Chỉ có thực phẩm mới giúp bạn làm được việc này.
NHÂN LỰC NGÀNH THIẾT KẾ ĐỒ HỌA ĐẮT GIÁ VÀ KHAN HIẾM," Nhân lực ngành thiết kế đồ họa, đắt giá và khen hiếm",nhân lực ngành thiết kế đồ họa đắt giá và khan hiếm.
VÌ CHÚNG CÓ THỂ LÀM RĂNG CỦA BẠN DỄ BỊ Ố VÀNG, Vì chúng có thể làm răng của bạn dễ bị ố vàng,"Vì chúng có thể làm răng của bạn dễ bị ố vàng.
"
TRÌNH ĐỘ CHUYÊN MÔN CỦA CÔ KHIẾN CÔ QUÁ THỪA TƯ CÁCH, Trình đỡ chuyên môn của cô khiến cô quá thừa tư cách.,Trình độ chuyên môn của cô khiến cô quá thừa tư cách.
NHỮNG CÂU HỎI TRÊN SẼ GIÚP BẠN LÀM ĐƯỢC ĐIỀU NÀY, Những câu hỏi trên sẽ giúp bạn làm được điều này.,Những câu hỏi trên sẽ giúp bạn làm được điều này.
HÔM SAU MỞ MÁY THẤY CÁI TRUYỆN ĐÃ TỰ HOÀN CHỈNH RỒI, hôm sau mở máy thấy cái chuyện đã tự hoàn chỉnh rồi,"Hôm sau mở máy thấy cái chuyện đã tự hoàn chỉnh rồi.
"
