Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
MỚI ĐÂY NHẤT LÀ CÁC TIỂU VƯƠNG QUỐC Ả RẬP THỐNG NHẤT, Mới đây nhất là các tiểu vương quốc Ả Rập Thống Nhất,Mới đây nhất là các Tiểu vương quốc Ả Rập Thống nhất.,mới đây nhất là các tiểu vương quốc ả rập thống nhất,mới đây nhất là các tiểu vương quốc ả rập thống nhất,mới đây nhất là các tiểu vương quốc ả rập thống nhất,0,0
MÀ MƯỜNG TƯỢNG RA HÌNH BÓNG MẸ, Mà mương tượng ra hình bóng mẹ,"mà mường tượng ra hình bóng mẹ.
",mà mường tượng ra hình bóng mẹ,mà mương tượng ra hình bóng mẹ,mà mường tượng ra hình bóng mẹ,0.1429,0
NHỮNG NGƯỜI SỐNG THÌ THA THẨN TRONG NHÀ NGOÀI NGÕ, Những người sống thì tha thẩn trong nhà ngoài ngõ.,Những người sống thì tha thẩn trong nhà ngoài ngõ.,những người sống thì tha thẩn trong nhà ngoài ngõ,những người sống thì tha thẩn trong nhà ngoài ngõ,những người sống thì tha thẩn trong nhà ngoài ngõ,0,0
LÀM HỎNG CÁC THIẾT BỊ CỦA TÊN LỬA, làm hỏng các thiết bị của tên lửa.,làm hỏng các thiết bị của tên lửa.,làm hỏng các thiết bị của tên lửa,làm hỏng các thiết bị của tên lửa,làm hỏng các thiết bị của tên lửa,0,0
LẠI QUAY RA TẬP VIẾT BÁO RỒI GỬI VU VƠ, Lại quay ra tập viết báo rồi gửi vu vơ.,Lại quay ra tập viết báo rồi gửi vu vơ.,lại quay ra tập viết báo rồi gửi vu vơ,lại quay ra tập viết báo rồi gửi vu vơ,lại quay ra tập viết báo rồi gửi vu vơ,0,0
CHỊ HAI CHỦ QUÁN NGHE BÀN TÁN RÔM RẢ CŨNG RA GÓP CHUYỆN, Chị hai chủ quán nghe bàn tán rôm rã cũng ra góp chuyện.,"Chị hai chủ quán nghe bàn tán rôm rả cũng ra góp chuyện.
",chị hai chủ quán nghe bàn tán rôm rả cũng ra góp chuyện,chị hai chủ quán nghe bàn tán rôm rã cũng ra góp chuyện,chị hai chủ quán nghe bàn tán rôm rả cũng ra góp chuyện,0.0769,0
NHỎ ĐƯA TAY RA CÀO HẾT BÙN KHÔ TRÊN CỔ TỚ, Nhỏ đưa tay ra cào hết bùng khô trên cổ tớ.,Nhỏ đưa tay ra cào hết bùn khô trên cổ tớ.,nhỏ đưa tay ra cào hết bùn khô trên cổ tớ,nhỏ đưa tay ra cào hết bùng khô trên cổ tớ,nhỏ đưa tay ra cào hết bùn khô trên cổ tớ,0.0909,0
MÀ CÒN BỊ NHỮNG BỘ MẶT LẠNH TE KIA HOẠNH HỌE, mà còn bị những bồ mặt lạnh te kia hoành hoẹt.,"mà còn bị những bộ mặt lạnh te kia hoành hoẹt.
",mà còn bị những bộ mặt lạnh te kia hoạnh họe,mà còn bị những bồ mặt lạnh te kia hoành hoẹt,mà còn bị những bộ mặt lạnh te kia hoành hoẹt,0.2727,0.1818
TRÔNG MỘT CÔ NÀNG ĐỔ NGƯỜI LÊN LƯNG ANH NGƯỜI YÊU GẦY CÒM, Trong một cô nàng đổ người lên lưng anh người yêu gây còm,Trong một cô nàng đổ người lên lưng anh người yêu gầy còm.,trông một cô nàng đổ người lên lưng anh người yêu gầy còm,trong một cô nàng đổ người lên lưng anh người yêu gây còm,trong một cô nàng đổ người lên lưng anh người yêu gầy còm,0.1538,0.0769
ĐANG LÀM VIỆC KHÔNG NGỪNG NGHỈ, Đang làm việc không ngừng nghỉ.,đang làm việc không ngừng nghỉ.,đang làm việc không ngừng nghỉ,đang làm việc không ngừng nghỉ,đang làm việc không ngừng nghỉ,0,0
THU HÚT RẤT LÀ NHIỀU LOÀI CHIM, thu hút rất là nhiều loài chim.,thú hút rất là nhiều loài chim.,thu hút rất là nhiều loài chim,thu hút rất là nhiều loài chim,thú hút rất là nhiều loài chim,0,0.1429
KHI CÔ THỂ HIỆN KHÔNG MẤY THÀNH CÔNG Ở LỄ KHAI MẠC," Khi cô thể hiện không mấy thành công ở lễ khai mạc,",Khi cơ thể hiện không mấy thành công ở lễ khai mạc.,khi cô thể hiện không mấy thành công ở lễ khai mạc,khi cô thể hiện không mấy thành công ở lễ khai mạc,khi cơ thể hiện không mấy thành công ở lễ khai mạc,0,0.0833
MỘT CÚ NGOẶT KHÔNG CHÍNH XÁC, Một cú hoặc không chính xác.,một cú ngoặt không chính xác.,một cú ngoặt không chính xác,một cú hoặc không chính xác,một cú ngoặt không chính xác,0.1667,0
THU CHẠM NGÕ RẤT HIỀN, Thu chạm ngõ rất hiền.,Thu chàm ngõ rất hiền.,thu chạm ngõ rất hiền,thu chạm ngõ rất hiền,thu chàm ngõ rất hiền,0,0.2
